Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,custom_value7,custom_value8,custom_value9,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,"If you are a Mechanical Turk Worker, please add your Worker ID. Otherwise write ""n/a"".",Age,Gender,Household Income,Region,Device Type
11283802933,252761849,01/18/2020 03:55:23 PM,01/18/2020 03:58:20 PM,2.56.32.43,,,,,,,,1,7,5,8,6,1,2,3,,,2,6,2,4,2,65,5,5,AWBLWTW3JH0QS,,,,,
11283802756,252761849,01/18/2020 03:53:08 PM,01/18/2020 03:58:08 PM,174.205.8.51,,,,,,,,2,3,4,6,8,1,2,3,4,5,6,3,2,5,2,100,7,5,n/a,,,,,
11283802012,252761849,01/18/2020 03:55:42 PM,01/18/2020 03:57:16 PM,184.15.12.38,,,,,,,,2,5,3,4,8,,,3,,,5,5,2,3,2,24,5,5,A2PS0YCQ7W3JGV,,,,,
11283802005,252761849,01/18/2020 03:55:00 PM,01/18/2020 03:57:16 PM,107.136.36.13,,,,,,,,2,10,10,10,5,,,3,,5,10,6,1,2,2,26,4,2,AFWD6B1RD714W,,,,,
11283801962,252761849,01/18/2020 03:56:13 PM,01/18/2020 03:57:13 PM,24.18.153.117,,,,,,,,2,9,10,7,6,1,2,3,,,10,5,2,3,2,29,5,5,A2CK0OXMPOR9LE,,,,,
11283801788,252761849,01/18/2020 03:55:56 PM,01/18/2020 03:57:01 PM,98.242.236.94,,,,,,,,2,7,8,9,6,1,2,,,5,6,7,2,3,2,23,3,4,A3TOUB8313BPVS,,,,,
11283801432,252761849,01/18/2020 03:54:35 PM,01/18/2020 03:56:38 PM,68.62.177.226,,,,,,,,1,8,7,10,4,,,3,4,5,1,3,2,3,2,19,4,5,AQH530PAKZ8JM,,,,,
11283801418,252761849,01/18/2020 03:54:54 PM,01/18/2020 03:56:37 PM,103.82.211.198,,,,,,,,1,7,6,6,6,1,2,3,4,5,6,8,2,5,2,25,5,5,A2IO83300NZCUE,,,,,
11283800173,252761849,01/18/2020 03:53:37 PM,01/18/2020 03:55:13 PM,96.61.98.113,,,,,,,,2,7,5,9,8,,,3,,,6,10,2,3,2,26,2,5,A297OTX4PW0XS3,,,,,
11283799747,252761849,01/18/2020 03:51:36 PM,01/18/2020 03:54:43 PM,184.98.49.101,,,,,,,,2,7,3,8,8,,2,3,,,12,4,2,2,3,37,5,5,A207IHY6GERCFO,,,,,
11283799683,252761849,01/18/2020 03:50:43 PM,01/18/2020 03:54:39 PM,67.180.106.232,,,,,,,,1,8,9,7,7,,2,3,,,6,9,2,8,3,36,5,5,A3774HPOUKYTX7,,,,,
11283799574,252761849,01/18/2020 03:52:16 PM,01/18/2020 03:54:31 PM,173.94.144.4,,,,,,,,2,10,10,10,8,,2,,,5,5,4,1,3,3,39,4,3,A10BH9PYCYUKDJ,,,,,
11283799123,252761849,01/18/2020 03:51:56 PM,01/18/2020 03:54:00 PM,71.77.155.238,,,,,,,,2,6,7,8,6,,,,,,7,9,1,2,4,58,7,5,A3FNC8ELMK8YJA,,,,,
11283798644,252761849,01/18/2020 03:43:58 PM,01/18/2020 03:53:30 PM,76.26.67.22,,,,,,,,1,7,8,8,8,,,3,,,5,8,1,3,2,25,8,3,AZLRPIAD0ZHAA,,,,,
11283798620,252761849,01/18/2020 03:42:31 PM,01/18/2020 03:53:28 PM,24.24.154.168,,,,,,,,2,10,10,7,7,,2,,,5,10,7,1,2,4,56,4,5,A2SJC9VRBGNC58,,,,,
11283798313,252761849,01/18/2020 03:50:30 PM,01/18/2020 03:53:07 PM,35.137.48.118,,,,,,,,2,10,8,8,6,,,,,5,5,7,1,3,4,60,5,5,A198MSVO1VTAT5,,,,,
11283797835,252761849,01/18/2020 03:51:30 PM,01/18/2020 03:52:37 PM,24.101.174.196,,,,,,,,1,9,6,9,10,,,3,,,4,5,2,4,2,28,5,3,A2SYTRKH1JWJO5,,,,,
11283797550,252761849,01/18/2020 03:48:09 PM,01/18/2020 03:52:17 PM,108.189.51.252,,,,,,,,2,7,6,7,7,,,,,5,5,5,1,3,2,22,6,3,A2CSGR33WTRXO0,,,,,
11283797501,252761849,01/18/2020 03:51:08 PM,01/18/2020 03:52:13 PM,68.8.163.160,,,,,,,,2,10,5,7,10,,,,,,10,8,2,3,3,37,3,5,A26NGLGGFTATVN,,,,,
11283797272,252761849,01/18/2020 03:47:54 PM,01/18/2020 03:51:58 PM,99.57.35.40,,,,,,,,1,8,10,10,8,,2,3,,5,11,7,1,4,3,40,6,4,A2XKVWHXJV0HWZ,,,,,
11283796980,252761849,01/18/2020 03:49:37 PM,01/18/2020 03:51:39 PM,47.42.174.127,,,,,,,,2,10,10,10,9,,2,3,,,11,9,1,2,4,46,4,5,ABX5OQLR6UNBC,,,,,
11283796752,252761849,01/18/2020 03:49:06 PM,01/18/2020 03:51:24 PM,96.3.171.51,,,,,,,,1,8,10,10,10,,2,,,5,8,8,1,3,2,25,4,1,A3HMCW2RP2XN32,,,,,
11283796595,252761849,01/18/2020 03:49:17 PM,01/18/2020 03:51:15 PM,72.198.42.112,,,,,,,,2,4,10,10,6,1,2,3,,,11,7,1,3,2,24,3,5,A1EO7150WDVOZ,,,,,
11283796575,252761849,01/18/2020 03:50:23 PM,01/18/2020 03:51:13 PM,73.1.97.245,,,,,,,,1,6,6,6,6,1,2,3,4,5,5,5,2,2,2,23,6,3,AFUJFPFEU3TAG,,,,,
11283796003,252761849,01/18/2020 03:49:08 PM,01/18/2020 03:50:35 PM,98.255.239.86,,,,,,,,2,7,3,10,9,1,2,3,,,11,10,2,3,3,37,5,5,A2LMQ4497NMK3S,,,,,
11283795813,252761849,01/18/2020 03:48:45 PM,01/18/2020 03:50:23 PM,108.64.75.194,,,,,,,,2,7,7,9,7,1,2,3,,5,10,8,1,5,3,36,5,5,AJRY9ALX8069Y,,,,,
11283795623,252761849,01/18/2020 03:48:05 PM,01/18/2020 03:50:10 PM,73.207.149.206,,,,,,,,3,7,6,8,8,,,,,5,10,8,2,6,2,21,3,5,A1SEYTDDA0DQZ,,,,,
11283795611,252761849,01/18/2020 03:48:28 PM,01/18/2020 03:50:09 PM,73.25.229.106,,,,,,,,2,7,9,10,5,1,,3,,,6,9,1,5,3,34,4,5,A3LA5P3N3KI8U7,,,,,
11283795548,252761849,01/18/2020 03:42:15 PM,01/18/2020 03:50:06 PM,104.35.170.65,,,,,,,,3,7,6,7,5,,2,,,,10,5,1,3,4,55,3,5,A19L8SNH73AX1Z,,,,,
11283795479,252761849,01/18/2020 03:42:33 PM,01/18/2020 03:50:01 PM,24.211.26.202,,,,,,,,1,9,4,6,3,,2,3,,5,6,5,2,4,3,36,5,5,A1DKVUTOBPQH11,,,,,
11283795014,252761849,01/18/2020 03:45:36 PM,01/18/2020 03:49:29 PM,68.45.36.64,,,,,,,,2,5,5,7,8,,,,,,2,7,2,3,2,24,4,5,A24E3S2PV0R8Q2,,,,,
11283794795,252761849,01/18/2020 03:46:06 PM,01/18/2020 03:49:14 PM,45.36.89.164,,,,,,,,2,10,5,8,10,1,,,,,10,3,1,4,5,60,3,5,AFN5VMMGYPF1I,,,,,
11283794570,252761849,01/18/2020 03:44:56 PM,01/18/2020 03:49:00 PM,47.16.153.114,,,,,,,,1,7,4,7,8,,,3,,5,4,8,1,3,3,37,5,5,AHYTT3T8W9Y9Y,,,,,
11283794422,252761849,01/18/2020 03:45:46 PM,01/18/2020 03:48:48 PM,24.38.143.244,,,,,,,,1,8,9,8,7,1,2,3,,,2,5,2,4,2,27,5,5,A3POPPPJEE7Y1Q,,,,,
11283794374,252761849,01/18/2020 03:46:10 PM,01/18/2020 03:48:45 PM,75.70.44.41,,,,,,,,3,8,7,8,5,,2,,,,10,6,2,8,4,58,5,5,A6JKKANO7F4KD,,,,,
11283794121,252761849,01/18/2020 03:47:12 PM,01/18/2020 03:48:29 PM,98.235.69.98,,,,,,,,1,10,9,9,8,,2,3,,,6,9,2,5,3,39,5,5,A1945USNZHTROX,,,,,
11283794113,252761849,01/18/2020 03:47:06 PM,01/18/2020 03:48:29 PM,141.151.88.241,,,,,,,,1,2,5,8,7,1,,3,,,10,6,1,3,2,25,5,5,ASI6KXF2GAUTQ,,,,,
11283794109,252761849,01/18/2020 03:47:19 PM,01/18/2020 03:48:29 PM,66.30.160.27,,,,,,,,1,7,6,8,10,1,2,,,5,8,5,2,4,3,33,5,5,A1M682B2WUSYJP,,,,,
11283793879,252761849,01/18/2020 03:46:03 PM,01/18/2020 03:48:13 PM,173.215.15.44,,,,,,,,2,5,8,9,1,,,3,,,2,4,1,7,4,48,4,5,A2ESE3IBTNAEB7,,,,,
11283793812,252761849,01/18/2020 03:46:09 PM,01/18/2020 03:48:09 PM,75.172.175.78,,,,,,,,1,10,10,10,8,1,,,,,10,7,1,5,4,53,4,5,A1FVXS8IM5QYO8,,,,,
11283793811,252761849,01/18/2020 03:46:03 PM,01/18/2020 03:48:09 PM,96.32.19.28,,,,,,,,2,7,8,10,8,,2,,,,10,10,1,3,4,48,3,5,A27VFM67RPD2L5,,,,,
11283792903,252761849,01/18/2020 03:39:22 PM,01/18/2020 03:47:09 PM,108.76.94.74,,,,,,,,2,8,7,8,8,,,,,5,11,8,2,6,2,23,4,5,A352HNW0L831G6,,,,,
11283792847,252761849,01/18/2020 03:45:36 PM,01/18/2020 03:47:05 PM,71.232.130.176,,,,,,,,1,10,6,6,9,,2,3,,5,12,8,2,3,4,53,5,5,A1B76WYZ47BQJ,,,,,
11283792463,252761849,01/18/2020 03:43:42 PM,01/18/2020 03:46:39 PM,67.169.209.224,,,,,,,,1,7,5,5,9,,2,3,,5,6,5,2,4,4,51,5,5,A2YCMT5BPA0AG9,,,,,
11283792406,252761849,01/18/2020 03:45:17 PM,01/18/2020 03:46:36 PM,108.44.46.154,,,,,,,,2,7,6,8,3,,,3,,5,11,10,1,5,2,23,5,5,A2THN8O1IQIRP7,,,,,
11283792357,252761849,01/18/2020 03:43:31 PM,01/18/2020 03:46:32 PM,65.4.150.6,,,,,,,,1,9,10,10,8,,,3,,,6,10,1,4,5,61,8,5,A21SF3IKIZB0VN,,,,,
11283792125,252761849,01/18/2020 03:43:28 PM,01/18/2020 03:46:18 PM,66.191.255.194,,,,,,,,3,10,6,9,5,,,,,,10,10,2,3,4,45,4,5,A2TSEQ0K6MLVK3,,,,,
11283792063,252761849,01/18/2020 03:44:06 PM,01/18/2020 03:46:14 PM,73.233.150.132,,,,,,,,2,9,9,8,8,,2,,,,12,8,2,3,3,38,7,5,A21SIPO89DP66I,,,,,
11283791669,252761849,01/18/2020 03:44:09 PM,01/18/2020 03:45:48 PM,24.116.21.131,,,,,,,,1,9,9,8,7,,2,,,,11,6,2,5,4,53,4,5,A2AM62BHO8G9MB,,,,,
11283791603,252761849,01/18/2020 03:42:06 PM,01/18/2020 03:45:44 PM,24.175.211.165,,,,,,,,1,7,9,10,5,,,,,5,11,5,2,4,4,50,5,4,A22HDIXTWGVUOW,,,,,
11283791364,252761849,01/18/2020 03:42:29 PM,01/18/2020 03:45:28 PM,108.31.115.20,,,,,,,,1,8,10,10,9,,2,3,,5,5,6,1,4,3,41,3,3,A19PN52BDA462L,,,,,
11283791347,252761849,01/18/2020 03:43:32 PM,01/18/2020 03:45:27 PM,198.228.133.105,,,,,,,,1,7,9,6,8,1,,,,,2,8,2,3,2,29,7,5,A2PU5BM2YXFQQS,,,,,
11283791281,252761849,01/18/2020 03:44:12 PM,01/18/2020 03:45:24 PM,50.4.17.78,,,,,,,,1,10,8,9,6,,2,3,,5,11,4,2,2,2,21,3,5,A2O0KQ1VUVTKMW,,,,,
11283791237,252761849,01/18/2020 03:43:34 PM,01/18/2020 03:45:22 PM,47.210.3.243,,,,,,,,1,10,7,10,6,,2,,,,10,10,2,4,4,57,4,5,A30RAYNDOWQ61S,,,,,
11283791170,252761849,01/18/2020 03:43:34 PM,01/18/2020 03:45:17 PM,72.224.140.65,,,,,,,,2,5,1,1,3,,,3,,,2,1,1,5,2,24,4,5,A2MTTK82BVU529,,,,,
11283791041,252761849,01/18/2020 03:42:18 PM,01/18/2020 03:45:10 PM,47.204.36.108,,,,,,,,1,2,2,7,2,,,,,5,6,2,2,8,4,51,5,4,A2XPWASDT8AYXH,,,,,
11283790947,252761849,01/18/2020 03:43:28 PM,01/18/2020 03:45:04 PM,76.203.45.18,,,,,,,,1,8,8,7,6,,,,,5,7,4,1,9,3,41,5,5,A3S1DILZ70PXC,,,,,
11283790824,252761849,01/18/2020 03:42:07 PM,01/18/2020 03:44:55 PM,70.177.71.8,,,,,,,,3,2,5,5,6,,,,,,10,5,2,3,2,26,3,5,A1GQRJVWSIT2RC,,,,,
11283790770,252761849,01/18/2020 03:44:00 PM,01/18/2020 03:44:52 PM,171.61.230.79,,,,,,,,1,4,7,6,6,,,,4,,2,4,2,4,2,28,5,5,A24C2SIG35DL1J,,,,,
11283790685,252761849,01/18/2020 03:42:41 PM,01/18/2020 03:44:46 PM,75.65.38.225,,,,,,,,2,8,5,3,2,1,2,,,,10,4,2,4,3,32,5,5,A2P065E9CYMYJL,,,,,
11283790418,252761849,01/18/2020 03:42:13 PM,01/18/2020 03:44:30 PM,73.66.240.119,,,,,,,,1,9,6,7,4,,,,,,10,7,1,3,4,46,5,5,A3RQN5RZD1N2KP,,,,,
11283790406,252761849,01/18/2020 03:42:38 PM,01/18/2020 03:44:29 PM,173.66.105.228,,,,,,,,3,6,8,8,5,,,3,,,10,7,1,4,3,38,4,5,A1E1SBWRRBUSOE,,,,,
11283790271,252761849,01/18/2020 03:42:29 PM,01/18/2020 03:44:21 PM,108.66.4.224,,,,,,,,2,4,2,7,5,1,2,,,5,6,10,1,2,2,28,4,5,A2EKR2ZFO10VMV,,,,,
11283790189,252761849,01/18/2020 03:42:56 PM,01/18/2020 03:44:15 PM,152.86.48.239,,,,,,,,1,10,10,10,10,,2,,,5,10,3,1,4,3,34,4,5,A187VXD4ETY6M2,,,,,
11283790183,252761849,01/18/2020 03:42:48 PM,01/18/2020 03:44:14 PM,76.98.104.58,,,,,,,,2,7,9,10,9,,,,,,1,9,2,1,3,40,2,5,A3EZ3BRM1C5WKV,,,,,
11283789950,252761849,01/18/2020 03:41:04 PM,01/18/2020 03:43:57 PM,69.247.208.131,,,,,,,,2,6,9,9,7,,,,,5,12,8,2,3,2,27,3,3,A3OTBMKOEQ410P,,,,,
11283789949,252761849,01/18/2020 03:42:23 PM,01/18/2020 03:43:57 PM,70.114.219.58,,,,,,,,2,5,6,8,7,,2,3,,,6,5,1,3,4,47,5,5,A3AJJHOAV7WIUQ,,,,,
11283789825,252761849,01/18/2020 03:42:04 PM,01/18/2020 03:43:49 PM,69.128.35.252,,,,,,,,2,5,6,9,7,,,,,5,11,6,1,3,3,37,4,5,A3UDUHUVFKD833,,,,,
11283789780,252761849,01/18/2020 03:42:12 PM,01/18/2020 03:43:46 PM,76.167.227.177,,,,,,,,2,8,7,8,5,,,,,5,9,8,1,5,3,33,5,5,A3PIJN4LHKKNPH,,,,,
11283789757,252761849,01/18/2020 03:42:20 PM,01/18/2020 03:44:01 PM,184.89.125.23,,,,,,,,2,10,9,8,4,,,3,,,11,9,1,1,2,22,5,3,A3F9G3VPRP21TA,,,,,
11283789727,252761849,01/18/2020 03:42:03 PM,01/18/2020 03:43:42 PM,24.52.163.47,,,,,,,,1,10,7,9,2,,,3,,5,8,6,2,3,3,35,3,5,AK2XJWYN3PF2V,,,,,
11283789707,252761849,01/18/2020 03:42:34 PM,01/18/2020 03:43:40 PM,108.183.71.159,,,,,,,,2,3,2,7,7,,,,,,8,8,1,3,2,24,5,5,AOFDURRUA32P3,,,,,
11283789696,252761849,01/18/2020 03:41:46 PM,01/18/2020 03:43:53 PM,66.253.168.22,,,,,,,,1,4,5,5,5,,,3,,5,5,7,1,3,2,24,5,5,A14DRED7XJ1F2V,,,,,
11283789428,252761849,01/18/2020 03:42:05 PM,01/18/2020 03:43:24 PM,185.245.87.139,,,,,,,,2,7,5,8,5,,,,,5,11,10,1,3,2,29,4,2,AZZA3J049G7R5,,,,,
11283789285,252761849,01/18/2020 03:40:23 PM,01/18/2020 03:43:14 PM,24.101.174.196,,,,,,,,1,7,4,5,3,,2,,,,11,7,1,3,2,28,5,3,A3LRNF13ZZ3V4D,,,,,
11283789272,252761849,01/18/2020 03:41:36 PM,01/18/2020 03:43:13 PM,98.165.229.26,,,,,,,,3,4,6,6,5,,,3,,,10,8,1,3,2,24,4,5,A73UBWHFPAT7E,,,,,
11283789236,252761849,01/18/2020 03:41:49 PM,01/18/2020 03:43:11 PM,100.1.96.244,,,,,,,,3,8,7,9,7,,,,,5,4,6,2,1,2,20,3,2,A3P89M76J7BMUZ,,,,,
11283789076,252761849,01/18/2020 03:40:36 PM,01/18/2020 03:43:01 PM,141.214.17.243,,,,,,,,2,7,9,8,7,1,,,,,5,6,1,3,2,26,5,5,A15OFKSPXEV95T,,,,,
11283788940,252761849,01/18/2020 03:40:01 PM,01/18/2020 03:42:52 PM,107.170.127.117,,,,,,,,1,9,8,9,8,,,3,4,,8,8,2,5,2,27,4,5,A1DH96FGW15MKP,,,,,
11283788425,252761849,01/18/2020 03:40:43 PM,01/18/2020 03:42:20 PM,107.170.145.187,,,,,,,,1,6,7,7,7,,,,4,,3,5,2,4,2,28,5,5,A2YBAB5LBV646M,,,,,
11283787560,252761849,01/18/2020 03:39:43 PM,01/18/2020 03:41:22 PM,75.11.200.54,,,,,,,,3,5,5,7,6,1,2,3,,,2,7,1,4,2,23,5,4,A2FWZR12905V6J,,,,,
11283787552,252761849,01/18/2020 03:40:19 PM,01/18/2020 03:41:21 PM,98.220.230.70,,,,,,,,1,10,9,1,10,,2,,,,10,10,2,4,2,24,5,5,A2JP9IKRHNLRPI,,,,,
11283787538,252761849,01/18/2020 03:40:30 PM,01/18/2020 03:41:39 PM,50.108.192.242,,,,,,,,1,7,5,6,6,,,,,5,1,6,1,2,2,24,5,4,A2TQCLAV1NQW5N,,,,,
11283787341,252761849,01/18/2020 03:37:46 PM,01/18/2020 03:41:06 PM,128.172.245.103,,,,,,,,3,7,8,8,5,,,,,5,10,4,1,1,2,20,4,3,A2BGY9BO2PPN87,,,,,
11283787056,252761849,01/18/2020 03:36:44 PM,01/18/2020 03:40:47 PM,67.254.197.64,,,,,,,,1,6,4,5,7,,2,3,,,11,7,2,4,2,25,5,5,A281NYJUA83Y3Y,,,,,
11283786608,252761849,01/18/2020 03:36:36 PM,01/18/2020 03:40:18 PM,162.226.190.29,,,,,,,,2,4,4,7,10,1,,3,,,10,8,1,3,2,27,4,5,A0017268R9SKD8U2Y3F,,,,,
11283786568,252761849,01/18/2020 03:38:45 PM,01/18/2020 03:40:16 PM,73.242.204.220,,,,,,,,2,8,9,9,7,,,,,,2,10,1,2,2,24,7,5,A23B8D2WG3R7U7,,,,,
11283785794,252761849,01/18/2020 03:38:03 PM,01/18/2020 03:39:28 PM,72.182.4.117,,,,,,,,2,10,10,10,10,,,,,,11,10,1,2,2,23,2,5,A2G8DTHDX0XO4I,,,,,
11283785495,252761849,01/18/2020 03:37:06 PM,01/18/2020 03:39:08 PM,134.228.86.161,,,,,,,,2,3,5,5,5,,,3,,,2,8,1,6,2,24,5,5,A15J1TJ75G35SR,,,,,
11283785328,252761849,01/18/2020 03:38:05 PM,01/18/2020 03:38:57 PM,99.18.100.166,,,,,,,,2,6,6,5,9,1,2,3,,,6,6,2,4,2,21,5,2,A3NTOY14EYIU8G,,,,,
11283784442,252761849,01/18/2020 03:37:07 PM,01/18/2020 03:38:00 PM,73.230.218.46,,,,,,,,1,7,8,5,9,,,3,,,2,7,2,3,2,23,3,5,A3QL8ZAD9BKWUF,,,,,
10992152783,246342431,09/13/2019 07:58:34 PM,09/13/2019 08:00:08 PM,,,,,4e8cd19e996919c971804314b9,,,,2,7,5,5,9,1,,,,5,10,7,2,4,2,23,7,5,,2,1,4,7,2
10992107211,246342431,09/13/2019 07:25:24 PM,09/13/2019 07:27:07 PM,,,,,c0a7d4ebcad4fc295f2c986bd8,,,,3,10,7,8,4,,,,,5,8,1,1,6,5,68,4,5,,5,2,6,6,1
10992091980,246342431,09/13/2019 07:16:00 PM,09/13/2019 07:16:43 PM,,,,,c004d79067559d9c2c30dafaef,,,,1,1,1,1,1,1,,3,,5,2,1,2,4,3,30,4,1,,2,1,5,9,1
10992063928,246342431,09/13/2019 06:54:18 PM,09/13/2019 06:58:03 PM,,,,,0a31aa0a28cc7672ccb409dbed,,,,2,8,5,6,5,,,,,5,11,6,2,11,4,50,4,5,,4,1,6,9,1
10992045078,246342431,09/13/2019 06:42:22 PM,09/13/2019 06:46:11 PM,,,,,a1fb136d76a392aa3885161827,,,,1,7,6,1,3,,2,,,5,10,6,2,3,3,42,4,5,,3,1,8,2,2
10992041298,246342431,09/13/2019 06:39:34 PM,09/13/2019 06:43:47 PM,,,,,bf4f15d41e602ce5def8bdfcf2,,,,1,4,1,5,7,1,2,3,,5,6,5,1,9,2,27,7,5,,2,2,7,9,2
10992040371,246342431,09/13/2019 06:41:00 PM,09/13/2019 06:43:11 PM,,,,,89bab8ce1c35c8ee259642083c,,,,1,7,7,9,5,,2,3,,,6,7,1,8,2,29,5,4,,2,2,4,9,4
10992040357,246342431,09/13/2019 06:41:44 PM,09/13/2019 06:43:10 PM,,,,,f8307ac31a060be7a138064b3c,,,,3,8,8,6,3,,,,,,5,5,1,3,3,31,5,5,,3,2,4,8,1
10992040184,246342431,09/13/2019 06:41:17 PM,09/13/2019 06:43:04 PM,,,,,d89eb1d9659ec89a6ac22cfffd,,,,3,6,6,6,6,,,,,5,11,6,1,2,3,31,3,5,,3,2,2,1,2
10992039905,246342431,09/13/2019 06:41:27 PM,09/13/2019 06:42:54 PM,,,,,be5e65822441701f66f04d3fc0,,,,2,7,3,8,8,,,3,,,2,2,1,3,2,21,5,5,,2,2,3,8,5
10992039889,246342431,09/13/2019 06:40:59 PM,09/13/2019 06:42:52 PM,,,,,53b9321d85e40cecadfa0a34b5,,,,3,8,10,10,10,,,,,5,10,5,1,3,3,31,4,5,,3,2,3,9,2
10992039706,246342431,09/13/2019 06:41:03 PM,09/13/2019 06:42:47 PM,,,,,52a12b79c55a90295adc9b8e13,,,,1,9,5,8,6,1,,,,5,5,3,1,6,3,41,5,5,,3,2,7,9,1
10992039339,246342431,09/13/2019 06:40:49 PM,09/13/2019 06:42:33 PM,,,,,f09723e02882f67804988b9d01,,,,2,4,6,10,5,,2,3,,5,10,10,1,11,2,24,4,3,,2,2,11,6,1
10992038968,246342431,09/13/2019 06:40:30 PM,09/13/2019 06:42:20 PM,,,,,feecc8c683eb4d32dfd2ba6c0b,,,,2,7,4,8,7,,2,,,5,6,4,2,1,2,20,4,5,,2,2,1,9,4
10992038933,246342431,09/13/2019 06:40:41 PM,09/13/2019 06:42:18 PM,,,,,e3d35177bdd8759947842e128b,,,,2,6,6,5,5,,,3,,,10,5,1,2,2,21,4,5,,2,2,3,7,1
10992038780,246342431,09/13/2019 06:41:32 PM,09/13/2019 06:42:12 PM,,,,,233ad3bb293205744622a9dc25,,,,1,1,1,10,10,,2,,4,,2,10,1,11,2,19,3,4,,2,2,2,8,1
10992038655,246342431,09/13/2019 06:40:48 PM,09/13/2019 06:42:06 PM,,,,,540fbef7a1d90cafef2f2ddb10,,,,2,10,7,6,5,,2,,,,11,5,1,3,3,37,5,5,,3,2,2,4,2
10992038175,246342431,09/13/2019 06:38:55 PM,09/13/2019 06:41:48 PM,,,,,a5b3ea6d86604113dcba023155,,,,2,10,6,5,7,1,,3,,,10,7,1,6,2,25,4,4,,2,2,5,5,2
10992037979,246342431,09/13/2019 06:39:23 PM,09/13/2019 06:41:42 PM,,,,,025b242c85b5975b41505db0c9,,,,3,8,7,8,6,,2,,,,10,7,1,11,3,31,4,6,,3,2,1,9,2
10992037374,246342431,09/13/2019 06:39:12 PM,09/13/2019 06:41:19 PM,,,,,a5e323309ac6d8e20648e8a89d,,,,2,10,10,10,6,,,,,,4,2,1,5,3,31,3,5,,3,2,3,3,2
10992037278,246342431,09/13/2019 06:35:20 PM,09/13/2019 06:41:16 PM,,,,,71cbfad27e507b7c6a8a2ab321,,,,1,10,8,10,6,,2,3,,5,11,6,1,5,2,28,5,5,,2,2,5,7,2
10992036925,246342431,09/13/2019 06:39:55 PM,09/13/2019 06:41:01 PM,,,,,28c3ca29318ff94ec4fbf6e91e,,,,2,10,8,10,1,,,,,5,11,10,1,3,5,31,4,4,,3,2,2,5,1
10992036788,246342431,09/13/2019 06:39:59 PM,09/13/2019 06:40:55 PM,,,,,659017ddd5e56971713a6c09b5,,,,2,6,5,6,4,,,,,5,3,5,1,4,2,25,5,5,,2,2,4,3,1
10992036709,246342431,09/13/2019 06:39:44 PM,09/13/2019 06:40:53 PM,,,,,08ad9d9bc1b7236bd2001009bb,,,,1,7,6,5,5,,,3,,,4,5,1,1,2,19,4,5,,2,2,1,9,1
10992035992,246342431,09/13/2019 06:39:45 PM,09/13/2019 06:40:28 PM,,,,,c679c168aa53f181c6abec90b3,,,,1,10,6,1,4,1,,,,,3,4,1,4,2,55,3,3,,2,2,7,2,1
10992035698,246342431,09/13/2019 06:38:53 PM,09/13/2019 06:40:17 PM,,,,,4d9bbfba5df15dec2d1dfa49c4,,,,3,10,9,9,5,,,3,,5,10,10,1,4,3,32,1,5,,3,2,4,9,1
10992035414,246342431,09/13/2019 06:39:22 PM,09/13/2019 06:40:08 PM,,,,,129e17258cedc38ec9365c5121,,,,2,4,6,6,6,1,2,3,4,5,6,6,1,5,2,24,5,2,,2,2,4,5,2
10992033057,246342431,09/13/2019 06:37:20 PM,09/13/2019 06:38:44 PM,,,,,02e76250f1c7ad5cb4faa96067,,,,1,8,7,6,6,,2,,,,5,4,1,3,2,27,5,5,,2,2,3,1,1
10992023378,246342431,09/13/2019 06:31:01 PM,09/13/2019 06:32:46 PM,,,,,7ce854b9f4cd7431b30756c0e8,,,,2,4,10,4,1,,,,,,11,10,1,3,3,31,4,4,,3,2,2,9,1
10992020093,246342431,09/13/2019 06:29:56 PM,09/13/2019 06:30:48 PM,,,,,2c1d590d96cc3cfbccd4ace904,,,,2,6,6,8,6,,2,3,,,10,3,2,6,2,18,3,5,,2,1,6,1,1
10992008679,246342431,09/13/2019 06:21:27 PM,09/13/2019 06:23:48 PM,,,,,9a34df77bf988336bf249dd6f2,,,,1,6,6,6,9,,2,,,,6,3,2,9,4,54,5,2,,4,1,10,9,4
10992008455,246342431,09/13/2019 06:22:05 PM,09/13/2019 06:23:40 PM,,,,,ff1f7ee1acae8e87001f4a9360,,,,1,8,4,10,8,1,,3,4,5,10,10,2,7,5,48,5,3,,4,1,6,9,1
10992007352,246342431,09/13/2019 06:21:30 PM,09/13/2019 06:23:03 PM,,,,,8d38f8454d39e894bfe6ffbd34,,,,1,6,7,7,4,,,,,,5,7,2,6,5,70,8,5,,5,1,7,7,1
10992005567,246342431,09/13/2019 06:20:23 PM,09/13/2019 06:21:58 PM,,,,,42828f5abd32657302e068fd8a,,,,1,7,5,4,5,,,,,,11,8,2,3,4,47,5,5,,4,1,3,9,1
